subject,run,n_train,n_test,n_test_ictal,accuracy,precision,recall,f1,average_precision,roc_auc
1,01,2541,450,5,0.9977777777777778,1.0,0.8,0.8888888888888888,0.8204081632653062,0.9802247191011235
1,02,2541,450,4,0.9977777777777778,1.0,0.75,0.8571428571428571,0.8,0.9910313901345291
1,03,2541,450,5,0.9955555555555555,0.7142857142857143,1.0,0.8333333333333334,0.7528571428571429,0.9979775280898877
1,04,2541,450,7,0.9955555555555555,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.842687074829932,0.9985488552079974
1,05,2541,450,12,0.9977777777777778,1.0,0.9166666666666666,0.9565217391304348,1.0,1.0
1,06,2541,450,12,0.9955555555555555,0.8571428571428571,1.0,0.9230769230769231,0.9880952380952381,0.9996194824961949
1,07,2700,291,13,1.0,1.0,1.0,1.0,1.0,1.0
