subject,run,n_train,n_test,n_test_ictal,accuracy,precision,recall,f1,average_precision,roc_auc
1,01,2541,450,5,0.9955555555555555,0.7142857142857143,1.0,0.8333333333333334,0.9428571428571428,0.9991011235955056
1,02,2541,450,4,0.9933333333333333,0.6,0.75,0.6666666666666666,0.875,0.9977578475336323
1,03,2541,450,5,0.9955555555555555,0.7142857142857143,1.0,0.8333333333333334,1.0,1.0
1,04,2541,450,7,0.9955555555555555,1.0,0.7142857142857143,0.8333333333333334,0.9478458049886621,0.999032570138665
1,05,2541,450,12,0.9977777777777778,1.0,0.9166666666666666,0.9565217391304348,1.0,1.0
1,06,2541,450,12,0.9955555555555555,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0
1,07,2700,291,13,1.0,1.0,1.0,1.0,1.0,1.0
